行番号,部署,金額,割合,日付
1933,管理部,585322,31.3%,2026-02-02
1934,広報,586556,38.4%,2026-03-03
1935,営業一課,587790,45.5%,2026-04-04
1936,営業二課,589024,52.6%,2026-05-05
1937,開発部,590258,59.7%,2026-06-06
1938,管理部,591492,66.8%,2026-07-07
1939,広報,592726,73.9%,2026-08-08
1940,営業一課,593960,80.0%,2026-09-09
1941,営業二課,595194,87.1%,2026-10-10
1942,開発部,596428,94.2%,2026-11-11
1943,管理部,597662,1.3%,2026-12-12
1944,広報,598896,8.4%,2026-01-13
1945,営業一課,600130,15.5%,2026-02-14
1946,営業二課,601364,22.6%,2026-03-15
1947,開発部,602598,29.7%,2026-04-16
1948,管理部,603832,36.8%,2026-05-17
1949,広報,605066,43.9%,2026-06-18
1950,営業一課,606300,50.0%,2026-07-19
1951,営業二課,607534,57.1%,2026-08-20
1952,開発部,608768,64.2%,2026-09-21
1953,管理部,610002,71.3%,2026-10-22
1954,広報,611236,78.4%,2026-11-23
1955,営業一課,612470,85.5%,2026-12-24
1956,営業二課,613704,92.6%,2026-01-25
1957,開発部,614938,99.7%,2026-02-26
1958,管理部,616172,6.8%,2026-03-27
1959,広報,617406,13.9%,2026-04-28
1960,営業一課,618640,20.0%,2026-05-01
1961,営業二課,619874,27.1%,2026-06-02
1962,開発部,621108,34.2%,2026-07-03
1963,管理部,622342,41.3%,2026-08-04
1964,広報,623576,48.4%,2026-09-05
1965,営業一課,624810,55.5%,2026-10-06
1966,営業二課,626044,62.6%,2026-11-07
1967,開発部,627278,69.7%,2026-12-08
1968,管理部,628512,76.8%,2026-01-09
1969,広報,629746,83.9%,2026-02-10
1970,営業一課,630980,90.0%,2026-03-11
1971,営業二課,632214,97.1%,2026-04-12
1972,開発部,633448,4.2%,2026-05-13
1973,管理部,634682,11.3%,2026-06-14
1974,広報,635916,18.4%,2026-07-15
1975,営業一課,637150,25.5%,2026-08-16
1976,営業二課,638384,32.6%,2026-09-17
1977,開発部,639618,39.7%,2026-10-18
1978,管理部,640852,46.8%,2026-11-19
1979,広報,642086,53.9%,2026-12-20
1980,営業一課,643320,60.0%,2026-01-21
1981,営業二課,644554,67.1%,2026-02-22
1982,開発部,645788,74.2%,2026-03-23
1983,管理部,647022,81.3%,2026-04-24
1984,広報,648256,88.4%,2026-05-25
1985,営業一課,649490,95.5%,2026-06-26
1986,営業二課,650724,2.6%,2026-07-27
1987,開発部,651958,9.7%,2026-08-28
1988,管理部,653192,16.8%,2026-09-01
1989,広報,654426,23.9%,2026-10-02
1990,営業一課,655660,30.0%,2026-11-03
1991,営業二課,656894,37.1%,2026-12-04
1992,開発部,658128,44.2%,2026-01-05
1993,管理部,659362,51.3%,2026-02-06
1994,広報,660596,58.4%,2026-03-07
1995,営業一課,661830,65.5%,2026-04-08
1996,営業二課,663064,72.6%,2026-05-09
1997,開発部,664298,79.7%,2026-06-10
1998,管理部,665532,86.8%,2026-07-11
1999,広報,666766,93.9%,2026-08-12
2000,営業一課,668000,0.0%,2026-09-13
